Benchmark,PolySynth Result,PolySynth Time,Rosette Result,Rosette Time,Sketch Result,Sketch Time
archimedes, SUCCESS, 1.926,,,,
berkeley,,,,,,
closest_cube_root,,,,,,
closest_square_root,,,,,,
cohendiv,,,,,,
consecutive_cubes,,,,,,
dijkstra_ind,,,,,,
dijsktra,,,,,,
euclidex1,,,,,,
euclidex2,,,,,,
fermat1,,,,,,
fermat2_ind,,,,,,
firefly,,,,,,
floor_square_root,,,,,,
friction,,,,,,
illinois,,,,,,
lcm1,,,,,,
mannadiv_Carre,,,,,,
mannadiv_Cube,,,,,,
mannadiv_ind,,,,,,
mesi,,,,,,
moesi,,,,,,
petter10,,,,,,
petter3,,,,,,
petter5,,,,,,
polynomial_approx,,,,,,
positive_square_with_holes,,,,,,
positive_square_with_number_holes,,,,,,
readerswriters,,,,,,
square_roots,,,,,,
wensley_division,,,,,,
