Benchmark,Result,Time (seconds)
archimedes, SUCCESS, .755
berkeley, SUCCESS, .707
closest_cube_root, TIMEOUT, -
closest_square_root, SUCCESS, .592
cohendiv, SUCCESS, .606
consecutive_cubes, TIMEOUT, -
dijkstra_ind, TIMEOUT, -
dijsktra, TIMEOUT, -
euclidex1, SUCCESS, .565
euclidex2, SUCCESS, .759
fermat1, SUCCESS, .607
fermat2_ind, TIMEOUT, -
firefly, SUCCESS, 1.061
floor_square_root, TIMEOUT, -
friction, TIMEOUT, -
illinois, TIMEOUT, -
lcm1, TIMEOUT, -
mannadiv_Carre, TIMEOUT, -
mannadiv_Cube, TIMEOUT, -
mannadiv_ind, SUCCESS, .561
mesi, SUCCESS, .705
moesi, SUCCESS, .971
petter10, TIMEOUT, -
petter3, TIMEOUT, -
petter5, TIMEOUT, -
polynomial_approx, SUCCESS, .645
positive_square_with_holes, TIMEOUT, -
positive_square_with_number_holes, TIMEOUT, -
readerswriters, TIMEOUT, -
square_roots, TIMEOUT, -
wensley_division, TIMEOUT, -
